target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
egernia-local,egernia,Q04,votable,8,2,9440,0.0,78.616,0.101297,0.129459,0.122316,81016.7,0.06,True
dachs-local,dachs,Q04,votable,8,2,1355,0.0,11.261,0.726397,0.870807,0.870324,76103.5,0.015,True
egernia-local,egernia,Q04,votable,8,3,9412,0.0,78.378,0.101814,0.129945,0.12235,81021.3,0.06,True
dachs-local,dachs,Q04,votable,8,3,1373,0.0,11.417,0.717814,0.868087,0.867563,76096.2,0.015,True
egernia-local,egernia,Q04,votable,16,1,9568,0.0,79.644,0.201021,0.25267,0.239751,81004.6,0.065,True
dachs-local,dachs,Q04,votable,16,1,1311,0.0,10.808,1.471454,1.776219,1.775673,76090.3,0.015,True
egernia-local,egernia,Q04,votable,16,2,9593,0.0,79.863,0.200467,0.25175,0.239379,81010.7,0.065,True
dachs-local,dachs,Q04,votable,16,2,1316,0.0,10.866,1.462734,1.730984,1.730423,76052.9,0.015,True
egernia-local,egernia,Q04,votable,16,3,9641,0.0,80.262,0.199253,0.25111,0.238387,81009.8,0.065,True
dachs-local,dachs,Q04,votable,16,3,1305,0.0,10.795,1.471344,1.767982,1.76725,76099.9,0.015,True
egernia-local,egernia,Q04,votable,32,1,9405,0.0,78.159,0.406801,0.485447,0.470674,80997.9,0.06,True
dachs-local,dachs,Q04,votable,32,1,1313,0.0,10.728,2.97083,3.204303,3.203712,76033.6,0.02,True
egernia-local,egernia,Q04,votable,32,2,9392,0.0,78.044,0.407696,0.486275,0.472115,81019.9,0.06,True
dachs-local,dachs,Q04,votable,32,2,1320,0.0,10.77,2.954171,3.183597,3.183145,76079.5,0.015,True
egernia-local,egernia,Q04,votable,32,3,9357,0.0,77.76,0.409613,0.48747,0.472343,81005.9,0.06,True
dachs-local,dachs,Q04,votable,32,3,1317,0.0,10.785,2.954726,3.158598,3.158111,76077.4,0.015,True
egernia-local,egernia,Q05,votable,1,1,11414,0.0,95.112,0.010098,0.01418,0.013609,6911.2,0.18,True
dachs-local,dachs,Q05,votable,1,1,215,0.0,1.783,0.544002,0.715573,0.715016,10051.0,0.01,True
egernia-local,egernia,Q05,votable,1,2,11388,0.0,94.895,0.010118,0.014135,0.013563,6902.4,0.18,True
dachs-local,dachs,Q05,votable,1,2,217,0.0,1.807,0.538897,0.705935,0.705463,10782.3,0.01,True
egernia-local,egernia,Q05,votable,1,3,11399,0.0,94.986,0.010118,0.014241,0.013696,6962.1,0.18,True
dachs-local,dachs,Q05,votable,1,3,216,0.0,1.794,0.542279,0.717289,0.716783,10921.0,0.01,True
egernia-local,egernia,Q05,votable,4,1,20451,0.0,170.386,0.022446,0.033969,0.032184,6959.6,0.105,True
dachs-local,dachs,Q05,votable,4,1,762,0.0,6.326,0.601731,0.798676,0.798192,10442.0,0.01,True
egernia-local,egernia,Q05,votable,4,2,20708,0.0,172.554,0.022193,0.033468,0.031621,6883.7,0.115,True
dachs-local,dachs,Q05,votable,4,2,763,0.0,6.33,0.603338,0.792261,0.791774,10480.7,0.01,True
egernia-local,egernia,Q05,votable,4,3,20666,0.0,172.201,0.02219,0.033337,0.031567,6918.5,0.12,True
dachs-local,dachs,Q05,votable,4,3,754,0.0,6.257,0.613297,0.797904,0.797371,10681.4,0.01,True
egernia-local,egernia,Q05,votable,8,1,21446,0.0,178.694,0.043199,0.063146,0.059922,6957.0,0.13,True
dachs-local,dachs,Q05,votable,8,1,1054,0.0,8.732,0.88844,1.242074,1.241527,10581.9,0.01,True
egernia-local,egernia,Q05,votable,8,2,21447,0.0,178.694,0.043224,0.06292,0.059683,6882.4,0.115,True
dachs-local,dachs,Q05,votable,8,2,1032,0.0,8.531,0.895385,1.286633,1.286076,10659.8,0.015,True
egernia-local,egernia,Q05,votable,8,3,21392,0.0,178.231,0.043319,0.063243,0.059737,6916.8,0.115,True
dachs-local,dachs,Q05,votable,8,3,1047,0.0,8.66,0.882278,1.268071,1.267467,10660.4,0.015,True
egernia-local,egernia,Q05,votable,16,1,20478,0.0,170.601,0.091336,0.123114,0.117358,6960.2,0.115,True
dachs-local,dachs,Q05,votable,16,1,1177,0.0,9.69,1.620528,2.00712,2.006629,10603.3,0.03,True
egernia-local,egernia,Q05,votable,16,2,20452,0.0,170.319,0.091442,0.123399,0.117173,6880.8,0.11,True
dachs-local,dachs,Q05,votable,16,2,1179,0.0,9.733,1.612131,1.993146,1.99265,10710.0,0.035,True
egernia-local,egernia,Q05,votable,16,3,20393,0.0,169.866,0.091697,0.123341,0.117623,6917.0,0.12,True
dachs-local,dachs,Q05,votable,16,3,1170,0.0,9.637,1.630227,2.052449,2.051965,10606.7,0.015,True
egernia-local,egernia,Q05,votable,32,1,19311,0.0,160.761,0.194018,0.246349,0.241011,6992.1,0.095,True
dachs-local,dachs,Q05,votable,32,1,1205,0.0,9.824,3.246434,3.547741,3.547207,10583.7,0.015,True
egernia-local,egernia,Q05,votable,32,2,19312,0.0,160.729,0.194174,0.245341,0.239808,6877.7,0.105,True
dachs-local,dachs,Q05,votable,32,2,1185,0.0,9.622,3.276868,3.652266,3.651723,10744.1,0.02,True
egernia-local,egernia,Q05,votable,32,3,19337,0.0,160.956,0.194203,0.245638,0.240067,6904.9,0.1,True
dachs-local,dachs,Q05,votable,32,3,1184,0.0,9.647,3.303098,3.606123,3.605598,10581.2,0.015,True
egernia-local,egernia,Q06,votable,1,1,6628,0.0,55.233,0.017859,0.025768,0.02452,96616.7,0.13,True
dachs-local,dachs,Q06,votable,1,1,213,0.0,1.768,0.551332,0.721908,0.720591,92105.6,0.02,True
egernia-local,egernia,Q06,votable,1,2,6661,0.0,55.504,0.017676,0.025704,0.024629,95959.1,0.13,True
dachs-local,dachs,Q06,votable,1,2,215,0.0,1.791,0.548157,0.718191,0.717662,89331.7,0.01,True
egernia-local,egernia,Q06,votable,1,3,6680,0.0,55.662,0.017614,0.025819,0.024584,95057.3,0.13,True
dachs-local,dachs,Q06,votable,1,3,216,0.0,1.798,0.542963,0.70868,0.7082,82882.5,0.01,True
egernia-local,egernia,Q06,votable,4,1,12301,0.0,102.491,0.038074,0.05742,0.053155,96294.2,0.075,True
dachs-local,dachs,Q06,votable,4,1,743,0.0,6.16,0.617422,0.830937,0.830383,90405.2,0.01,True
egernia-local,egernia,Q06,votable,4,2,12321,0.0,102.66,0.037959,0.057254,0.053242,95884.4,0.08,True
dachs-local,dachs,Q06,votable,4,2,757,0.0,6.283,0.604773,0.810157,0.809344,90040.8,0.01,True
egernia-local,egernia,Q06,votable,4,3,12313,0.0,102.586,0.038085,0.057552,0.053405,96310.5,0.075,True
dachs-local,dachs,Q06,votable,4,3,746,0.0,6.177,0.61636,0.838257,0.837781,85767.5,0.01,True
egernia-local,egernia,Q06,votable,8,1,13154,0.0,109.589,0.07148,0.104291,0.095367,96283.8,0.08,True
dachs-local,dachs,Q06,votable,8,1,1023,0.0,8.477,0.911005,1.292669,1.291485,90973.1,0.015,True
egernia-local,egernia,Q06,votable,8,2,13208,0.0,110.012,0.070852,0.10339,0.094603,96019.2,0.08,True
dachs-local,dachs,Q06,votable,8,2,1038,0.0,8.594,0.901264,1.247301,1.246693,88743.2,0.015,True
egernia-local,egernia,Q06,votable,8,3,13214,0.0,110.082,0.070899,0.103475,0.094888,96081.7,0.08,True
dachs-local,dachs,Q06,votable,8,3,1026,0.0,8.486,0.909136,1.28191,1.281143,87499.2,0.015,True
egernia-local,egernia,Q06,votable,16,1,12703,0.0,105.736,0.147934,0.204178,0.185048,96387.1,0.08,True
dachs-local,dachs,Q06,votable,16,1,1145,0.0,9.427,1.665566,2.058582,2.057957,91287.2,0.015,True
egernia-local,egernia,Q06,votable,16,2,12746,0.0,106.114,0.147269,0.20205,0.185107,96050.2,0.08,True
dachs-local,dachs,Q06,votable,16,2,1148,0.0,9.458,1.651688,2.094669,2.086519,88662.2,0.015,True
egernia-local,egernia,Q06,votable,16,3,12768,0.0,106.319,0.147463,0.201786,0.185285,96096.1,0.075,True
dachs-local,dachs,Q06,votable,16,3,1131,0.0,9.332,1.680306,2.12434,2.123607,88093.5,0.015,True
egernia-local,egernia,Q06,votable,32,1,12175,0.0,101.264,0.311245,0.38822,0.369274,96429.0,0.075,True
dachs-local,dachs,Q06,votable,32,1,1153,0.0,9.39,3.398124,3.759075,3.758488,91225.6,0.015,True
egernia-local,egernia,Q06,votable,32,2,12302,0.0,102.314,0.308447,0.384419,0.365672,95929.4,0.075,True
dachs-local,dachs,Q06,votable,32,2,1151,0.0,9.346,3.394255,3.761527,3.760949,88435.1,0.015,True
egernia-local,egernia,Q06,votable,32,3,12305,0.0,102.382,0.306953,0.386795,0.369662,96305.8,0.08,True
dachs-local,dachs,Q06,votable,32,3,1153,0.0,9.415,3.36607,3.786968,3.786311,88432.5,0.02,True
egernia-local,egernia,Q07,votable,1,1,10269,0.0,85.572,0.01142,0.017331,0.016722,28289.7,0.165,True
dachs-local,dachs,Q07,votable,1,1,214,0.0,1.777,0.547512,0.721404,0.720902,28351.5,0.01,True
egernia-local,egernia,Q07,votable,1,2,10223,0.0,85.184,0.011458,0.017414,0.016787,28431.6,0.165,True
dachs-local,dachs,Q07,votable,1,2,215,0.0,1.786,0.544061,0.72703,0.726563,30189.0,0.01,True
egernia-local,egernia,Q07,votable,1,3,10205,0.0,85.04,0.011484,0.017513,0.016854,28450.9,0.17,True
dachs-local,dachs,Q07,votable,1,3,215,0.0,1.791,0.545703,0.71139,0.710919,28905.1,0.01,True
egernia-local,egernia,Q07,votable,4,1,18344,0.0,152.843,0.025154,0.039197,0.037275,28312.7,0.1,True
dachs-local,dachs,Q07,votable,4,1,750,0.0,6.227,0.617357,0.822206,0.821714,28931.1,0.01,True
egernia-local,egernia,Q07,votable,4,2,18415,0.0,153.435,0.025089,0.039072,0.037082,28267.2,0.1,True
dachs-local,dachs,Q07,votable,4,2,737,0.0,6.107,0.623412,0.84408,0.843553,30698.4,0.01,True
egernia-local,egernia,Q07,votable,4,3,18478,0.0,153.958,0.024935,0.038895,0.036918,28494.4,0.105,True
dachs-local,dachs,Q07,votable,4,3,751,0.0,6.245,0.614259,0.808589,0.807966,28751.8,0.01,True
egernia-local,egernia,Q07,votable,8,1,18809,0.0,156.691,0.049442,0.072476,0.068601,28337.4,0.11,True
dachs-local,dachs,Q07,votable,8,1,1007,0.0,8.33,0.919164,1.33045,1.329879,29720.8,0.015,True
egernia-local,egernia,Q07,votable,8,2,18847,0.0,157.033,0.049295,0.072433,0.068174,28291.2,0.115,True
dachs-local,dachs,Q07,votable,8,2,1021,0.0,8.465,0.915217,1.289561,1.288976,29617.0,0.015,True
egernia-local,egernia,Q07,votable,8,3,18810,0.0,156.699,0.049535,0.072437,0.068512,28465.8,0.11,True
dachs-local,dachs,Q07,votable,8,3,1016,0.0,8.415,0.91103,1.302224,1.30174,28816.4,0.015,True
egernia-local,egernia,Q07,votable,16,1,18016,0.0,150.049,0.10388,0.141265,0.133457,28353.5,0.105,True
dachs-local,dachs,Q07,votable,16,1,1120,0.0,9.239,1.72111,2.106672,2.106177,29701.0,0.015,True
egernia-local,egernia,Q07,votable,16,2,18027,0.0,150.133,0.10379,0.141347,0.134147,28316.3,0.1,True
dachs-local,dachs,Q07,votable,16,2,1111,0.0,9.157,1.723838,2.109692,2.109143,29506.9,0.015,True
egernia-local,egernia,Q07,votable,16,3,18016,0.0,150.061,0.104003,0.141722,0.134401,28547.2,0.105,True
dachs-local,dachs,Q07,votable,16,3,1123,0.0,9.253,1.72335,2.079956,2.079502,29135.4,0.015,True
egernia-local,egernia,Q07,votable,32,1,17195,0.0,143.09,0.217808,0.275592,0.267719,28228.4,0.105,True
dachs-local,dachs,Q07,votable,32,1,1134,0.0,9.215,3.459458,3.787399,3.786869,29616.2,0.02,True
