key,kind,dataset,database_gib,mode,response_format,concurrency,replicas,offered_rps,repetition,requests,successful,rps,successful_rps,error_fraction,timeout_fraction,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_p999_s,latency_max_s,latency_cv,ttfb_p95_s,response_throughput_bytes_per_s,tap_api_cpu_cores_mean,postgres_cpu_cores_mean,postgres_read_bytes_per_s,cache_hit_ratio,bottleneck,invalid
conc-D2-c4-r1,concurrency,D2,10.012,closed,csv,4,1,,1,16969,16969,94.26391935299098,94.26391935299098,0.0,0.0,0.042403264604952334,0.03997609205543995,0.0660163008607924,0.08140991801396012,0.14886599319056684,0.1823785868473351,0.31501457783304604,0.053963639028370376,3713489.972848203,1.05164337960683,0.16740941661058653,0.0,1.0,TAP_CPU_BOUND,False
conc-D2-c4-r2,concurrency,D2,10.012,closed,csv,4,1,,2,16849,16849,93.59386039416562,93.59386039416562,0.0,0.0,0.04270632127301563,0.04019958199933171,0.0664436589926481,0.08143018251284963,0.15502706062421304,0.1885321461595595,0.3166635664514848,0.05407811235636472,3785934.4117685426,1.0409192749237037,0.16597544542955892,0.0,0.9999995195064755,TAP_CPU_BOUND,False
sat-D2-c4-r0,saturation,D2,10.012,closed,csv,4,1,,0,28218,28218,94.05208149634866,94.05208149634866,0.0,0.0,0.04249854981532251,0.04004219896160066,0.0663967001484707,0.08192097031045696,0.15139542823703975,0.18381251161918044,0.31669321757527413,0.05400292831473052,3711252.8894027625,1.0438268014306384,0.166177271735473,4345.125987714508,0.9999961476193733,TAP_CPU_BOUND,False
sat-D2-c4-r1,saturation,D2,10.012,closed,csv,4,1,,1,28141,28141,93.79773144585258,93.79773144585258,0.0,0.0,0.04261512263994368,0.040068987756967545,0.06633517798036337,0.08222725773230186,0.15075556656346026,0.19409285299479961,0.31557132868057874,0.05444517405703664,3733681.3231287957,1.0449290383252272,0.16724041886783886,0.0,0.9999990409214826,TAP_CPU_BOUND,False
sat-D2-c4-r2,saturation,D2,10.012,closed,csv,4,1,,2,28047,28047,93.48020557137957,93.48020557137957,0.0,0.0,0.04275876257701952,0.0403713071718812,0.0661387116182594,0.08178503417409971,0.15241689669899647,0.18218556605279446,0.31506424446119674,0.05419390285387634,3743820.2329631792,1.0430551871589955,0.16887605891854782,0.0,1.0,TAP_CPU_BOUND,False
sat-D2-c4-r3,saturation,D2,10.012,closed,csv,4,1,,3,28229,28229,94.09115725176811,94.09115725176811,0.0,0.0,0.04248100392279391,0.0400029132142663,0.06603407794609666,0.08145091645419598,0.14978279924579407,0.19275643397122622,0.3156077384039944,0.054114025551825755,3717677.3650691165,1.030247496427346,0.16505313223639217,0.0,1.0,TAP_CPU_BOUND,False
sat-D2-c4-r4,saturation,D2,10.012,closed,csv,4,1,,4,28095,28095,93.64035340591225,93.64035340591225,0.0,0.0,0.04268673680575863,0.04024830227717757,0.06644194307737052,0.08219333305023617,0.15134895396046752,0.19405626831576228,0.31453174311600984,0.05437290011905133,3733331.3949069944,1.0429460358714184,0.16619171323502505,0.0,1.0,TAP_CPU_BOUND,False
stress-D2-Q09,stress,D2,10.012,closed,csv,4,1,,0,1885,1885,31.393063822536476,31.393063822536476,0.0,0.0,0.1273549733851451,0.12315431190654635,0.16000161869451401,0.18014149021357304,0.24697081445716632,0.2664332427084446,0.12662309881429015,0.15813432922586798,1633569.4690695081,0.40934559117985175,3.232701814708192,7896.396684898868,0.9999073239027293,UNKNOWN,False
stress-D2-Q11,stress,D2,10.012,closed,csv,4,1,,0,404,404,6.695384185877935,6.695384185877935,0.0,0.0,0.5960171220519829,0.5953755809459835,0.6900666681816802,0.7278596863755955,0.7742651508864951,0.7783663212321699,0.09075097532985549,0.196137146721594,17697794.16949053,1.0221573520821725,0.1467843642942567,81.82935125256097,0.9999917035306455,SERIALIZATION_BOUND,False
stress-D2-Q13,stress,D2,10.012,closed,csv,4,1,,0,286,280,4.690536853548422,4.592133982494959,0.02097902097902098,0.0,0.8471454690370084,0.8481265821028501,1.230629599886015,1.370508095715195,1.4086760294158014,1.4114809948951006,0.25595147951889263,1.2299944926053286,7469.25352683463,0.04733932134001167,7.747298319244749,39.283304913699,0.9999992291531279,DATABASE_CPU_BOUND,False
