target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
egernia-local,egernia,Q04,votable,4,1,13005,0.0,108.359,0.035864,0.048633,0.045518,81039.9,0.08,True
dachs-local,dachs,Q04,votable,4,1,1277,0.0,10.629,0.321356,0.580389,0.579897,76110.7,0.015,True
egernia-local,egernia,Q04,votable,4,2,12922,0.0,107.655,0.036096,0.049037,0.046256,81033.9,0.08,True
dachs-local,dachs,Q04,votable,4,2,1277,0.0,10.619,0.324554,0.579088,0.578565,76061.8,0.015,True
egernia-local,egernia,Q04,votable,4,3,13009,0.0,108.389,0.035886,0.048931,0.045812,81044.1,0.08,True
dachs-local,dachs,Q04,votable,4,3,1268,0.0,10.54,0.325357,0.580162,0.579677,76114.9,0.015,True
egernia-local,egernia,Q04,votable,8,1,15169,0.0,126.362,0.061743,0.08386,0.078117,81041.9,0.09,True
dachs-local,dachs,Q04,votable,8,1,1264,0.0,10.497,0.80109,0.945319,0.944736,76071.3,0.015,True
egernia-local,egernia,Q04,votable,8,2,15162,0.0,126.316,0.061689,0.083892,0.077952,81034.8,0.1,True
dachs-local,dachs,Q04,votable,8,2,1264,0.0,10.482,0.797509,0.944545,0.943649,76064.2,0.015,True
egernia-local,egernia,Q04,votable,8,3,15142,0.0,126.153,0.061803,0.084095,0.078193,81037.5,0.11,True
dachs-local,dachs,Q04,votable,8,3,1268,0.0,10.513,0.794466,0.937851,0.937239,76101.5,0.015,True
egernia-local,egernia,Q04,votable,16,1,15340,0.0,127.738,0.122598,0.159959,0.1489,81034.7,0.105,True
dachs-local,dachs,Q04,votable,16,1,1205,0.0,9.952,1.589605,1.991212,1.990683,76067.2,0.015,True
egernia-local,egernia,Q04,votable,16,2,15326,0.0,127.628,0.122664,0.161529,0.150132,81037.3,0.11,True
dachs-local,dachs,Q04,votable,16,2,1221,0.0,10.062,1.578611,1.910185,1.909723,76107.2,0.015,True
egernia-local,egernia,Q04,votable,16,3,15376,0.0,128.047,0.122026,0.160532,0.149546,81042.7,0.105,True
dachs-local,dachs,Q04,votable,16,3,1215,0.0,10.055,1.579239,1.916098,1.9156,76084.1,0.015,True
egernia-local,egernia,Q04,votable,32,1,14612,0.0,121.58,0.258355,0.317831,0.306134,81046.2,0.11,True
dachs-local,dachs,Q04,votable,32,1,1229,0.0,10.024,3.177922,3.413369,3.412917,76098.4,0.02,True
egernia-local,egernia,Q04,votable,32,2,14549,0.0,121.063,0.259283,0.32062,0.309181,81041.3,0.1,True
dachs-local,dachs,Q04,votable,32,2,1219,0.0,9.973,3.214384,3.440337,3.439612,76048.0,0.015,True
egernia-local,egernia,Q04,votable,32,3,14589,0.0,121.398,0.258745,0.318513,0.306099,81044.3,0.105,True
dachs-local,dachs,Q04,votable,32,3,1224,0.0,9.972,3.196128,3.433112,3.432673,76068.8,0.015,True
egernia-local,egernia,Q05,votable,1,1,11892,0.0,99.098,0.009539,0.01343,0.012815,6907.1,0.195,True
dachs-local,dachs,Q05,votable,1,1,210,0.0,1.749,0.550555,0.789151,0.788685,10022.2,0.01,True
egernia-local,egernia,Q05,votable,1,2,11917,0.0,99.297,0.00952,0.013549,0.012956,6909.3,0.19,True
dachs-local,dachs,Q05,votable,1,2,212,0.0,1.763,0.54553,0.782816,0.782319,10782.1,0.025,True
egernia-local,egernia,Q05,votable,1,3,11900,0.0,99.165,0.009535,0.013589,0.013007,6961.3,0.19,True
dachs-local,dachs,Q05,votable,1,3,213,0.0,1.767,0.54507,0.783015,0.782456,10921.5,0.01,True
egernia-local,egernia,Q05,votable,4,1,20739,0.0,172.795,0.022041,0.033436,0.031907,6953.4,0.12,True
dachs-local,dachs,Q05,votable,4,1,719,0.0,5.967,0.632606,0.895552,0.894813,10326.5,0.01,True
egernia-local,egernia,Q05,votable,4,2,20839,0.0,173.637,0.021917,0.033038,0.031317,6887.9,0.115,True
dachs-local,dachs,Q05,votable,4,2,730,0.0,6.056,0.62206,0.885105,0.884621,10595.4,0.035,True
egernia-local,egernia,Q05,votable,4,3,20880,0.0,173.985,0.021886,0.033283,0.031626,6915.9,0.12,True
dachs-local,dachs,Q05,votable,4,3,710,0.0,5.889,0.636306,0.909228,0.908738,10665.1,0.01,True
