key,kind,dataset,database_gib,mode,response_format,concurrency,replicas,workers,offered_rps,repetition,requests,successful,rps,successful_rps,error_fraction,timeout_fraction,latency_mean_s,latency_p50_s,latency_p95_s,latency_p99_s,latency_p999_s,latency_max_s,latency_cv,ttfb_p95_s,response_throughput_bytes_per_s,tap_api_cpu_cores_mean,postgres_cpu_cores_mean,postgres_read_bytes_per_s,cache_hit_ratio,bottleneck,invalid
wsweep-w2-n4-D1-c8-r1,worker_sweep,D1,2.058,closed,csv,8,4,2,,1,19874,19874,441.48930633993314,441.48930633993314,0.0,0.0,0.01807944459153293,0.01589186559431255,0.03230921002104877,0.04353622994851322,0.060715924039484774,0.15324134612455964,0.4521251770596276,0.026892829965800044,13076822.996616049,4.650922195395218,0.6750801946568161,0.0,1.0,UNKNOWN,False
wsweep-w2-n4-D1-c16-r0,worker_sweep,D1,2.058,closed,csv,16,4,2,,0,25800,25800,573.0244999767111,573.0244999767111,0.0,0.0,0.027873285989468383,0.024655730463564396,0.05496803079731762,0.07546547305304556,0.13891232196288766,0.19169272854924202,0.5112727519982548,0.047167944745160624,17539869.85419536,6.561014565457652,0.9082866791119951,0.0,1.0,UNKNOWN,False
wsweep-w2-n4-D1-c16-r1,worker_sweep,D1,2.058,closed,csv,16,4,2,,1,25333,25333,562.2788827669973,562.2788827669973,0.0,0.0,0.02839289122486355,0.024689373094588518,0.05736227035522459,0.0768446050025523,0.14335739373975676,0.18886336404830217,0.5445986512522434,0.04936076477169987,16731298.059803613,6.385903568797883,0.8777392851051806,0.0,0.9999995640289912,UNKNOWN,False
wsweep-w2-n4-D1-c32-r0,worker_sweep,D1,2.058,closed,csv,32,4,2,,0,25983,25983,576.0794930765226,576.0794930765226,0.0,0.0,0.055409271465061374,0.05158290080726147,0.098554810648784,0.13279951228760187,0.20814233468473026,0.317179043777287,0.44889921172739566,0.08369580311700701,17609113.743152764,7.207443527819652,0.9657342998862478,0.0,0.9999997897916962,TAP_CPU_BOUND,False
wsweep-w2-n4-D1-c32-r1,worker_sweep,D1,2.058,closed,csv,32,4,2,,1,26288,26288,583.0408085869104,583.0408085869104,0.0,0.0,0.05476153041371082,0.05072006955742836,0.10465187805239105,0.1490602555125952,0.21291002603573966,0.2974348240531981,0.502136609291363,0.08894441628362981,17386697.20357577,7.176665594976457,0.9750908569017551,0.0,1.0,TAP_CPU_BOUND,False
wsweep-w2-n4-D1-c64-r0,worker_sweep,D1,2.058,closed,csv,64,4,2,,0,24694,24694,546.8221449939358,546.8221449939358,0.0,0.0,0.11666458427721688,0.10550370207056403,0.2121960124466568,0.28618878923822194,0.37667546807229624,0.45885752188041806,0.44124539137631025,0.1845023040194064,16746439.52813015,7.325768368604594,0.9622118146879786,0.0,1.0,TAP_CPU_BOUND,False
wsweep-w2-n4-D1-c64-r1,worker_sweep,D1,2.058,closed,csv,64,4,2,,1,24835,24835,550.7497834802939,550.7497834802939,0.0,0.0,0.11601212066906677,0.10900979628786445,0.20501703233458102,0.2739376084227115,0.3559155736537699,0.47820208594202995,0.42128917645968106,0.17571402457542715,16425211.643982613,7.5198825102889,0.9558274338795109,0.0,1.0,TAP_CPU_BOUND,False
wsweep-w2-n8-D1-c1-r0,worker_sweep,D1,2.058,closed,csv,1,8,2,,0,3756,3756,83.4336682642711,83.4336682642711,0.0,0.0,0.011953897709503008,0.011070499662309885,0.023148122476413846,0.02736890639644116,0.029991950646508864,0.12459700321778655,0.3765313852100186,0.015209990437142551,2498559.3859633403,0.7848057511170339,0.1283712184769133,0.0,1.0,UNKNOWN,False
wsweep-w2-n8-D1-c1-r1,worker_sweep,D1,2.058,closed,csv,1,8,2,,1,3757,3757,83.48503761173627,83.48503761173627,0.0,0.0,0.011945910163452794,0.011006138753145933,0.022453483659774016,0.02794048434123397,0.03398130536824507,0.12182427803054452,0.40580571335368454,0.01521241394802928,2478724.1420079526,0.7828280903358631,0.12646576602390985,0.0,1.0,UNKNOWN,False
wsweep-w2-n8-D1-c2-r0,worker_sweep,D1,2.058,closed,csv,2,8,2,,0,7307,7307,162.33725876140463,162.33725876140463,0.0,0.0,0.01228463214799044,0.011334592942148447,0.02362499595619738,0.02894680565223097,0.033142328554764566,0.12008331436663866,0.3822652100562177,0.015656251786276696,4993823.774987329,1.512417106694388,0.23410461328275456,0.0,1.0,UNKNOWN,False
wsweep-w2-n8-D1-c2-r1,worker_sweep,D1,2.058,closed,csv,2,8,2,,1,4446,4446,98.78541904561153,98.78541904561153,0.0,0.0,0.020207042883670194,0.018925703829154372,0.03277716552838683,0.040152779943309784,0.0536916299839522,0.12610004097223282,0.3151730826992665,0.025598148815333843,2931763.3094567712,0.9859896756117011,0.1456234195293747,0.0,1.0,UNKNOWN,False
wsweep-w2-n8-D1-c4-r0,worker_sweep,D1,2.058,closed,csv,4,8,2,,0,13843,13843,307.54230579837065,307.54230579837065,0.0,0.0,0.01296819045280987,0.011971146799623966,0.024825165793299665,0.030138500202447176,0.035407940756529754,0.14308474026620388,0.4023767925040611,0.01656569615006447,9509836.620848963,3.0153708877920935,0.4613953486897318,0.0,1.0,UNKNOWN,False
wsweep-w2-n8-D1-c4-r1,worker_sweep,D1,2.058,closed,csv,4,8,2,,1,13635,13635,302.93573213902414,302.93573213902414,0.0,0.0,0.013165076899635603,0.012193678878247738,0.022986950399354097,0.030512095475569365,0.03611960158590277,0.14886731607839465,0.400146233190942,0.016863905778154727,8968328.212270081,2.990463439665848,0.452902929368663,0.0,1.0,UNKNOWN,False
wsweep-w2-n8-D1-c8-r0,worker_sweep,D1,2.058,closed,csv,8,8,2,,0,21719,21719,482.4233197495064,482.4233197495064,0.0,0.0,0.016542128938675574,0.014550499618053436,0.03059801436029374,0.04002148039638996,0.05928627230227117,0.14266568887978792,0.44336824357277893,0.02407187507487833,15034142.82581337,5.13349662728047,0.7369791876963387,0.0,1.0,UNKNOWN,False
wsweep-w2-n8-D1-c8-r1,worker_sweep,D1,2.058,closed,csv,8,8,2,,1,19893,19893,441.8796124708536,441.8796124708536,0.0,0.0,0.01806204243817002,0.01590361725538969,0.032567032333463405,0.043420410882681545,0.05882730063796463,0.14963976200670004,0.4467858831553513,0.026974428351968508,13106122.917056302,4.656509654612167,0.6721509980354778,0.0,1.0,UNKNOWN,False
wsweep-w2-n8-D1-c16-r0,worker_sweep,D1,2.058,closed,csv,16,8,2,,0,26554,26554,588.066334083858,588.066334083858,0.0,0.0,0.027096709618164627,0.020840992452576756,0.06759588811546563,0.09507458079606307,0.15029877705918673,0.24927541706711054,0.6964769596594732,0.05886970367282629,17904930.771122403,6.744797126414613,0.9553853422692861,0.0,1.0,UNKNOWN,False
wsweep-w2-n8-D1-c16-r1,worker_sweep,D1,2.058,closed,csv,16,8,2,,1,25526,25526,566.783234105764,566.783234105764,0.0,0.0,0.028174120349527716,0.02617716626264155,0.051963999518193305,0.06796225754078478,0.14395129354670808,0.19411080097779632,0.49604099197540397,0.04421780281700194,16960460.310242012,6.533235853373547,0.9090595588268147,0.0,1.0,UNKNOWN,False
